103,2020-05-22 09:38:46,Kuala Lumpur City,"Great joy to you and all in your family. May Hari Raya bring you cheer all throughout the wonderful year!

Stay safe stay home. Together we can end this pandemic Covid-19 ."
104,2020-05-22 09:38:38,Pretoria,"@r_adewale @HigherEduGovZA @DBE_SA @UmalusiSA @che_SouthAfrica Good day.Please kindly note that due to the COVID19 pandemic, SAQA offices were closed for operation since 26 March 2020. While SAQA understands that applications are urgent and makes every effort to accommodate client needs and expedite processes."
105,2020-05-22 09:38:32,"Portsmouth, UK","☝️”…These evolving practices will shape our cities as we respond to the COVID-19 pandemic and are key to our long-term recovery.

Streets for Pandemic Response &amp; Recovery compiles emerging practices from around the world and includes implementation resources for cities.”"
106,2020-05-22 09:38:31,"Coimbatore, India","#IndiaFightsCorona
As the country continues to fight the pandemic, Northeast has emerged as a bright spot on the map. With the pro-active steps taken by the Modi Govt, five northeastern states Arunachal Pradesh, Meghalaya, Mizoram, Nagaland, and Sikkim are COVID-19 free."
107,2020-05-22 09:38:18,,"@harry66192855 Due to the current changing situation and reduced workforce, it is likely there will be delays in processing some cases, and therefore we are unable to provide any timescales. 

We are taking steps to prioritise applications for key workers in relation to the COVID-19 pandemic"
108,2020-05-22 09:38:17,"Accra, Ghana","@MichaelAkaburi Restricting essential SRH services in the global response to COVID-19 will violate international human rights, further harm girls, women, already at risk, and, undermine global efforts to respond to not only the pandemic but the existing emergencies in humanitarian settings."
109,2020-05-22 09:38:03,United States,"New story on NPR: White House Looks At 'Opportunity Zone' Extension In Wake Of COVID-19 The White House says it might extend ""opportunity zone"" tax breaks to help struggling neighborhoods after the pandemic. But critics say the program mostly helps wealthy investors.https://…"
110,2020-05-22 09:37:55,"Bangalore, Delhi, Mumbai, Chen","Grover says that while the entire country is going through some degree of lockdown as of now owing to the COVID-19 pandemic, there can yet be no parity with what Jammu and Kashmir, especially the Kashmir valley went through.

@NUJS_Speaks #VrindaGrover #Kashmir #Lockdown"
111,2020-05-22 09:37:28,"Palm Beach, Florida 33480","Trump. See CNN, “'We've been muzzled': CDC sources say White House putting politics ahead of science.” (“CDC officials say their agency's efforts to mount a coordinated response to the Covid-19 pandemic have been hamstrung by a White House whose decisions are driven by politics"
112,2020-05-22 09:37:08,Ireland,"The #RebootReimagine @ibec_irl campaign is responding to the #COVID19 pandemic which has caused global economic &amp; social shocks. The campaign, supported by Skillnet Ireland, sets out an ambitious national recovery plan and pathway for a sustainable economy and society in Ireland."
113,2020-05-22 09:36:46,mumbai,@AUThackeray SHAMELESS ATTITUDE FOR MAHARASTRIANS IS NOW SEEN IN PANDEMIC OF COVID19 BEING HIGHEST IN INFECTION DEATH &amp; WORST IS FINANCIAL CAPITAL MUMBAI OPEN FOR DISCUSSIONS SO UNDERSTAND WHAT HAVE U DONE UNDER GANDHI PAWAR NOTHING.
114,2020-05-22 09:36:24,"Hyderabad, India","@OpIndia_com No one can destroy Sanathana Dharma as it is not a religion. Its the way to live our lives, Hence proved in Covid-19 Pandemic. This is the power of #SanatanaDharma #Ayodhya #RamJanmabhoomi #JaiSriRam #Ramayana #SanathanaDharma"
115,2020-05-22 09:36:14,Wherever God Takes Me,"A doctor said your 5x more likely to die in a car crash, than to die of corona virus...My fellow tweeters, I think the pandemic is over."
